monthly_cash_flow_sar,registration_age_months,defaulted
-28826.57,74,1
-4739.32,184,0
-6571.17,162,0
133148.01,126,0
87860.03,159,0
249656.71,81,0
99018.85,39,0
1137.64,131,1
-36432.03,8,1
162794.76,141,0
96477.60,58,0
134194.62,22,0
36172.33,20,1
-5452.36,108,1
33740.66,203,0
167574.63,218,0
196689.40,203,0
189629.03,209,0
12620.89,7,1
222694.23,170,0
206871.55,187,0
5078.38,21,1
244651.07,154,0
177709.88,161,0
11671.78,170,0
-22349.35,34,1
97156.53,89,0
143659.15,200,0
100691.15,226,0
244549.60,49,0
167220.96,178,0
-1944.54,74,1
193140.84,107,0
139140.24,56,0
61541.50,196,0
249878.92,219,0
195900.12,164,0
245596.69,47,0
242224.42,83,0
50606.08,24,1
-8574.56,53,1
43192.30,78,0
-10430.87,149,0
71814.10,101,0
187360.56,94,0
117096.77,73,0
125935.67,208,0
10573.73,95,0
42335.02,92,0
93484.74,189,0
-38937.87,151,1
213401.63,40,0
-20819.08,9,1
160297.69,187,0
64533.62,53,0
191213.55,42,0
77264.86,185,0
128613.06,177,0
119912.73,197,0
30230.65,10,1
151877.46,38,0
111576.91,239,0
-8713.78,5,1
-28537.59,219,1
-13305.16,30,1
28176.88,75,1
91745.35,179,0
81173.30,18,1
74274.82,43,0
-25126.84,86,0
249277.58,168,0
86523.93,9,0
72781.93,103,0
-49996.80,161,1
118936.78,207,0
146360.39,181,0
2937.96,72,0
-12317.98,125,1
75887.64,13,1
233350.44,130,0
132361.35,194,0
71506.92,62,1
103158.06,137,0
129190.31,187,0
62827.89,208,0
73825.84,50,0
19317.22,105,0
157626.90,11,0
70587.79,222,0
89781.58,180,0
96477.89,234,0
136719.04,158,0
151679.39,236,0
18013.29,60,1
29488.92,208,0
-2393.13,58,1
230204.90,196,0
77920.97,29,0
183588.21,218,0
201112.19,3,0
166342.67,50,0
-49355.86,38,1
169065.97,102,0
140734.61,183,0
114609.29,240,0
194792.80,163,0
8523.57,30,0
109735.55,64,0
113340.56,99,0
4746.78,92,0
-15182.61,118,0
71538.36,23,0
196093.07,38,0
-2614.17,84,0
130572.96,19,0
125246.59,127,0
-22117.99,3,1
37497.79,65,1
38741.72,41,1
60483.90,43,0
140759.95,3,1
57293.66,73,0
40129.86,137,0
-32010.12,8,1
241546.35,17,0
-39428.46,143,0
189559.83,118,1
246288.05,159,0
-49422.35,105,1
88577.89,186,0
76505.14,114,1
72478.43,204,0
123028.62,50,0
170652.50,110,0
226028.97,223,0
184015.26,215,0
95130.04,104,1
90675.31,6,0
173100.36,13,0
188122.08,128,0
219188.26,77,0
196142.10,58,1
98090.36,56,1
125958.15,80,0
135886.43,89,1
73384.58,171,0
174961.61,100,0
109238.56,46,0
77607.79,205,0
30936.41,16,1
142901.61,135,0
21592.90,21,1
-33777.35,112,1
119743.94,1,0
237460.48,194,0
147009.40,85,1
190157.11,19,1
-12065.38,205,0
209954.73,141,0
166334.20,9,0
151599.36,227,0
106777.79,232,0
191102.22,59,0
-26671.04,175,0
242566.45,73,0
35255.67,199,0
41714.04,212,0
128057.54,197,0
197002.13,98,0
-32204.79,111,0
78801.71,78,0
160639.35,111,0
235386.42,64,0
67906.12,222,0
-38471.66,25,1
170369.88,181,0
-3638.49,63,1
5914.73,19,1
247578.50,239,0
228695.07,234,0
-16435.03,220,0
146208.93,160,0
25124.17,72,1
247576.26,151,0
50619.72,100,0
79731.09,72,0
151230.74,215,0
24198.88,198,0
19894.25,150,1
249947.24,205,0
59379.53,133,1
206417.19,186,0
68849.57,70,1
189807.64,101,0
-3153.86,196,0
67762.84,172,0
168202.00,160,0
94726.69,38,0
-24854.70,172,1
135213.33,130,0
237622.88,27,0
240378.66,71,0
118971.69,62,0
178322.89,196,0
44372.20,196,0
64145.48,17,1
198974.82,11,0
185114.34,42,0
134150.31,28,0
222122.63,121,0
148972.32,237,0
-426.77,53,1
193270.69,161,0
153663.73,155,0
-27934.00,168,0
50838.93,148,1
21207.09,88,0
168813.47,197,0
184281.24,41,0
242167.26,20,0
174169.04,80,0
180780.75,142,0
17094.30,58,1
75024.13,60,1
88451.50,238,0
78163.94,199,0
187668.57,67,0
160344.98,161,0
233012.22,167,0
52870.65,7,1
-3420.84,219,0
34992.18,229,0
28583.00,210,0
44038.94,217,0
242018.59,83,0
80851.65,131,0
231529.37,33,0
238844.97,205,0
-36137.91,93,1
194087.72,218,0
157882.59,190,0
-23605.73,230,1
209226.21,142,0
69808.09,209,0
237246.11,77,0
192010.15,192,0
165452.62,240,0
42397.53,33,0
81726.27,228,0
3386.80,69,0
222815.28,149,0
25158.91,76,1
-1173.35,24,0
225126.78,216,0
6939.00,66,1
-34606.45,229,0
85469.54,195,0
110979.93,141,0
212347.50,184,0
115820.53,71,0
179995.51,158,0
68741.61,96,1
248616.82,66,0
145146.61,116,0
127589.04,116,0
228640.44,236,0
206815.16,137,0
15153.06,72,1
-18921.05,226,0
16105.44,173,0
-44855.24,67,1
194493.80,189,0
10503.96,8,1
4932.20,85,0
70986.61,186,0
112704.89,98,0
196708.27,110,0
50421.69,216,0
248810.40,78,0
240290.17,15,0
-12817.50,38,1
21906.18,233,0
102925.95,212,0
216718.10,227,0
-31798.51,220,0
-26140.69,106,0
130274.46,34,1
166539.10,175,0
131982.76,218,0
153785.55,224,0
111343.99,67,1
130830.03,123,0
207492.67,209,0
140629.98,144,0
-15109.57,163,0
163023.57,188,0
24729.86,58,1
